User_ID,Var1,Age
20080820229,E,20-30
20080820230,A,
20080820231,C,
20080820232,B,20-30
20080820233,D,
20080820234,A,20-30
20080820235,B,50-60
20080820236,A,
20080820237,A,
20080820238,A,30-40
20080820239,A,
20080820240,A,
20080820241,B,30-40
20080820242,D,50-60
20080820243,B,20-30
20080820244,A,15-20
20080820245,F,20-30
20080820246,A,20-30
20080820247,A,15-20
20080820248,B,40-50
20080820249,A,50-60
20080820250,A,30-40
20080820251,A,30-40
20080820252,A,20-30
20080820253,D,20-30
20080820254,A,30-40
20080820255,A,20-30
20080820256,A,
20080820257,A,40-50
20080820258,A,30-40
20080820259,A,50-60
20080820260,A,
20080820261,A,
20080820262,A,30-40
20080820263,A,30-40
20080820264,A,30-40
20080820265,A,30-40
20080820266,A,
20080820267,A,30-40
20080820268,A,20-30
20080820269,A,30-40
20080820270,B,15-20
20080820271,B,40-50
20080820272,A,40-50
20080820273,A,30-40
20080820274,A,30-40
20080820275,A,
20080820276,A,40-50
20080820277,A,30-40
20080820278,A,60-70
20080820279,A,
20080820280,A,30-40
20080820281,A,30-40
20080820282,F,20-30
20080820283,R,20-30
20080820284,A,30-40
20080820285,A,40-50
20080820286,A,
20080820287,F,
20080820288,A,60-70
20080820289,A,30-40
20080820290,A,30-40
20080820291,A,
20080820292,A,
20080820293,A,
20080820294,A,50-60
20080820295,A,
20080820296,A,30-40
20080820297,A,20-30
20080820298,Other,30-40
20080820299,A,30-40
20080820300,A,
20080820301,A,40-50
20080820302,D,20-30
20080820303,A,30-40
20080820304,A,30-40
20080820305,A,
20080820306,A,30-40
20080820307,A,20-30
20080820308,NA,
20080820309,A,
20080820310,A,40-50
20080820311,A,50-60
20080820312,A,60-70
20080820313,A,50-60
20080820314,A,
20080820315,A,30-40
20080820316,A,
20080820317,A,40-50
20080820318,B,
20080820319,M,30-40
20080820320,A,30-40
20080820321,A,20-30
20080820322,A,50-60
20080820323,A,50-60
20080820324,I,20-30
20080820325,A,
20080820326,A,
20080820327,A,40-50
20080820328,A,30-40
20080820329,A,30-40
20080820330,A,
20080820331,A,30-40
20080820332,A,40-50
20080820333,B,30-40
20080820334,A,30-40
20080820335,A,
20080820336,A,30-40
20080820337,A,30-40
20080820338,A,60-70
20080820339,A,
20080820340,A,
20080820341,A,40-50
20080820342,A,30-40
20080820343,A,
20080820344,NA,
20080820345,A,30-40
20080820346,A,
20080820347,A,
20080820348,A,
20080820349,A,
20080820350,A,20-30
20080820351,A,30-40
20080820352,A,
20080820353,F,30-40
20080820354,A,50-60
20080820355,A,40-50
20080820356,A,50-60
20080820357,A,
20080820358,A,50-60
20080820359,A,30-40
20080820360,A,30-40
20080820361,A,More than 70
20080820362,A,
20080820363,A,30-40
20080820364,A,40-50
20080820365,A,40-50
20080820366,A,15-20
20080820367,A,30-40
20080820368,A,
20080820369,A,
20080820370,A,
20080820371,A,
20080820372,A,40-50
20080820373,A,
20080820374,A,
20080820375,A,
20080820376,A,
20080820377,A,50-60
20080820378,A,
20080820379,A,
20080820380,A,
20080820381,A,50-60
20080820382,A,50-60
20080820383,B,50-60
20080820384,J,
20080820385,NA,
20080820386,A,More than 70
20080820387,A,40-50
20080820388,A,40-50
20080820389,D,
20080820390,A,40-50
20080820391,A,40-50
20080820392,B,20-30
20080820393,G,
20080820394,A,20-30
20080820395,A,20-30
20080820396,D,30-40
20080820397,A,40-50
20080820398,A,
20080820399,L,30-40
20080820400,R,30-40
20080820401,F,20-30
20080820402,L,20-30
20080820403,J,
20080820404,A,
20080820405,A,15-20
20080820406,J,40-50
20080820407,A,40-50
20080820408,A,20-30
20080820409,Other,
20080820410,A,
20080820411,A,20-30
20080820412,A,20-30
20080820413,A,
20080820414,A,20-30
20080820415,A,40-50
20080820416,G,30-40
20080820417,NA,60-70
20080820418,A,30-40
20080820419,A,20-30
20080820420,L,40-50
20080820421,A,40-50
20080820422,A,
20080820423,F,20-30
20080820424,A,
20080820425,A,20-30
20080820426,A,30-40
20080820427,A,
20080820428,A,
20080820429,A,60-70
20080820430,A,30-40
20080820431,A,
20080820432,G,30-40
20080820433,A,40-50
20080820434,A,
20080820435,NA,40-50
20080820436,A,30-40
20080820437,A,
20080820438,B,30-40
20080820439,A,
20080820440,A,
20080820441,NA,
20080820442,A,30-40
20080820443,Other,30-40
20080820444,A,50-60
20080820445,A,
20080820446,A,
20080820447,A,
20080820448,A,
20080820449,G,
20080820450,A,
20080820451,A,
20080820452,A,
20080820453,B,
20080820454,G,20-30
20080820455,A,30-40
20080820456,A,40-50
20080820457,A,50-60
20080820458,A,
20080820459,A,50-60
20080820460,A,20-30
20080820461,A,20-30
20080820462,A,50-60
20080820463,A,40-50
20080820464,B,
20080820465,A,30-40
20080820466,A,30-40
20080820467,A,30-40
20080820468,A,
20080820469,A,40-50
20080820470,A,
20080820471,A,40-50
20080820472,A,60-70
20080820473,A,30-40
20080820474,A,30-40
20080820475,A,40-50
20080820476,A,
20080820477,B,40-50
20080820478,A,20-30
20080820479,A,20-30
20080820480,A,40-50
20080820481,A,
20080820482,A,20-30
20080820483,A,20-30
20080820484,Other,30-40
20080820485,A,15-20
20080820486,A,
20080820487,A,60-70
20080820488,A,
20080820489,A,50-60
20080820490,A,30-40
20080820491,A,
20080820492,NA,
20080820493,D,30-40
20080820494,A,
20080820495,A,30-40
20080820496,A,40-50
20080820497,A,40-50
20080820498,A,50-60
20080820499,A,30-40
20080820500,A,40-50
20080820501,A,30-40
20080820502,A,30-40
20080820503,A,40-50
20080820504,A,30-40
20080820505,A,50-60
20080820506,A,50-60
20080820507,A,30-40
20080820508,A,30-40
20080820509,R,20-30
20080820510,A,40-50
20080820511,Other,30-40
20080820512,A,20-30
20080820513,A,30-40
20080820514,A,60-70
20080820515,A,40-50
20080820516,A,
20080820517,A,30-40
20080820518,A,30-40
20080820519,A,
20080820520,A,
20080820521,A,
20080820522,A,
20080820523,A,
20080820524,A,30-40
20080820525,A,
20080820526,A,30-40
20080820527,A,
20080820528,A,
20080820529,A,
20080820530,A,40-50
20080820531,A,30-40
20080820532,A,
20080820533,A,50-60
20080820534,A,
20080820535,A,
20080820536,A,20-30
20080820537,A,20-30
20080820538,A,50-60
20080820539,A,30-40
20080820540,A,
20080820541,A,
20080820542,A,
20080820543,A,
20080820544,A,
20080820545,A,20-30
20080820546,Other,20-30
20080820547,B,
20080820548,A,
20080820549,A,
20080820550,A,
20080820551,A,
20080820552,A,30-40
20080820553,NA,
20080820554,A,
20080820555,A,30-40
20080820556,A,
20080820557,A,
20080820558,A,
20080820559,A,40-50
20080820560,A,
20080820561,A,20-30
20080820562,A,
20080820563,A,30-40
20080820564,B,20-30
20080820565,A,30-40
20080820566,A,30-40
20080820567,A,30-40
20080820568,A,20-30
20080820569,A,40-50
20080820570,A,30-40
20080820571,L,
20080820572,A,20-30
20080820573,B,
20080820574,A,30-40
20080820575,A,50-60
20080820576,A,40-50
20080820577,A,15-20
20080820578,A,
20080820579,A,40-50
20080820580,A,20-30
20080820581,A,50-60
20080820582,A,30-40
20080820583,A,20-30
20080820584,A,30-40
20080820585,A,20-30
20080820586,A,15-20
20080820587,A,20-30
20080820588,A,15-20
20080820589,A,20-30
20080820590,A,20-30
20080820591,A,
20080820592,C,20-30
20080820593,A,Less tha 15
20080820594,A,15-20
20080820595,A,20-30
20080820596,A,
20080820597,A,20-30
20080820598,A,60-70
20080820599,B,30-40
20080820600,A,30-40
20080820601,A,
20080820602,A,
20080820603,A,
20080820604,B,
20080820605,A,
20080820606,A,
20080820607,A,30-40
20080820608,A,20-30
20080820609,B,40-50
20080820610,A,30-40
20080820611,A,
20080820612,A,20-30
20080820613,A,20-30
20080820614,A,50-60
20080820615,A,30-40
20080820616,B,
20080820617,A,
20080820618,B,15-20
20080820619,A,20-30
20080820620,A,30-40
20080820621,A,20-30
20080820622,A,60-70
20080820623,F,30-40
20080820624,C,20-30
20080820625,A,20-30
20080820626,B,
20080820627,A,
20080820628,A,20-30
20080820629,A,15-20
20080820630,A,20-30
20080820631,A,30-40
20080820632,A,
20080820633,B,15-20
20080820634,A,30-40
20080820635,A,
20080820636,A,20-30
20080820637,A,20-30
20080820638,A,
20080820639,A,20-30
20080820640,A,20-30
20080820641,B,20-30
20080820642,C,15-20
20080820643,A,
20080820644,A,20-30
20080820645,A,
20080820646,A,
20080820647,A,20-30
20080820648,B,30-40
20080820649,A,20-30
20080820650,A,30-40
20080820651,A,20-30
20080820652,A,40-50
20080820653,B,20-30
20080820654,A,30-40
20080820655,A,
20080820656,A,20-30
20080820657,B,20-30
20080820658,NA,30-40
20080820659,B,40-50
20080820660,A,
20080820661,A,
20080820662,A,60-70
20080820663,A,20-30
20080820664,A,15-20
20080820665,A,30-40
20080820666,A,30-40
20080820667,B,20-30
20080820668,A,30-40
20080820669,A,40-50
20080820670,A,20-30
20080820671,B,20-30
20080820672,A,15-20
20080820673,A,20-30
20080820674,B,20-30
20080820675,F,20-30
20080820676,A,15-20
20080820677,A,20-30
20080820678,A,30-40
20080820679,B,15-20
20080820680,A,
20080820681,B,15-20
20080820682,A,40-50
20080820683,D,20-30
20080820684,A,
20080820685,A,30-40
20080820686,A,
20080820687,A,
20080820688,A,20-30
20080820689,A,50-60
20080820690,A,
20080820691,A,20-30
20080820692,A,20-30
20080820693,A,
20080820694,NA,
20080820695,NA,
20080820696,A,
20080820697,A,20-30
20080820698,A,30-40
20080820699,A,20-30
20080820700,A,40-50
20080820701,A,
20080820702,A,
20080820703,B,40-50
20080820704,A,15-20
20080820705,A,30-40
20080820706,A,
20080820707,A,50-60
20080820708,A,50-60
20080820709,A,40-50
20080820710,B,30-40
20080820711,A,40-50
20080820712,A,
20080820713,A,40-50
20080820714,NA,
20080820715,A,
20080820716,A,20-30
20080820717,A,30-40
20080820718,A,20-30
20080820719,A,20-30
20080820720,Other,20-30
20080820721,A,20-30
20080820722,A,20-30
20080820723,A,20-30
20080820724,A,30-40
20080820725,A,30-40
20080820726,B,20-30
20080820727,A,30-40
20080820728,E,20-30
20080820729,A,
20080820730,A,20-30
20080820731,Other,30-40
20080820732,E,40-50
20080820733,A,40-50
20080820734,C,30-40
20080820735,A,40-50
20080820736,A,20-30
20080820737,A,
20080820738,A,20-30
20080820739,A,
20080820740,A,More than 70
20080820741,Other,
20080820742,A,
20080820743,Other,15-20
20080820744,A,
20080820745,A,20-30
20080820746,A,30-40
20080820747,A,50-60
20080820748,A,30-40
20080820749,NA,
20080820750,B,15-20
20080820751,A,20-30
20080820752,E,30-40
20080820753,A,
20080820754,A,20-30
20080820755,A,30-40
20080820756,A,50-60
20080820757,A,40-50
20080820758,A,
20080820759,NA,
20080820760,A,30-40
20080820761,A,
20080820762,A,
20080820763,A,50-60
20080820764,A,50-60
20080820765,A,
20080820766,A,30-40
20080820767,A,
20080820768,A,30-40
20080820769,A,40-50
20080820770,A,50-60
20080820771,A,
20080820772,A,40-50
20080820773,A,40-50
20080820774,A,
20080820775,A,
20080820776,A,More than 70
20080820777,A,
20080820778,A,
20080820779,A,20-30
20080820780,A,
20080820781,B,20-30
20080820782,A,30-40
20080820783,B,30-40
20080820784,A,30-40
20080820785,D,40-50
20080820786,B,30-40
20080820787,B,20-30
20080820788,A,
20080820789,A,40-50
20080820790,A,30-40
20080820791,B,
20080820792,A,
20080820793,A,20-30
20080820794,A,Less tha 15
20080820795,A,30-40
20080820796,A,30-40
20080820797,A,
20080820798,NA,
20080820799,A,60-70
20080820800,A,
20080820801,A,30-40
20080820802,A,30-40
20080820803,A,20-30
20080820804,A,
20080820805,A,
20080820806,A,30-40
20080820807,A,30-40
20080820808,A,30-40
20080820809,NA,
20080820810,A,
20080820811,A,40-50
20080820812,B,50-60
20080820813,A,40-50
20080820814,A,
20080820815,A,30-40
20080820816,A,
20080820817,A,20-30
20080820818,A,
20080820819,A,
20080820820,A,
20080820821,A,30-40
20080820822,A,More than 70
20080820823,A,50-60
20080820824,A,
20080820825,A,50-60
20080820826,A,
20080820827,A,30-40
20080820828,A,40-50
20080820829,A,20-30
20080820830,A,
20080820831,A,More than 70
20080820832,D,60-70
20080820833,A,30-40
20080820834,A,
20080820835,A,40-50
20080820836,A,
20080820837,F,40-50
20080820838,D,More than 70
20080820839,A,20-30
20080820840,A,30-40
20080820841,A,40-50
20080820842,B,
20080820843,A,
20080820844,A,20-30
20080820845,A,20-30
20080820846,A,20-30
20080820847,A,Less tha 15
20080820848,A,40-50
20080820849,A,30-40
20080820850,B,30-40
20080820851,L,20-30
20080820852,L,20-30
20080820853,A,30-40
20080820854,A,
20080820855,A,20-30
20080820856,A,30-40
20080820857,A,20-30
20080820858,A,20-30
20080820859,A,
20080820860,A,
20080820861,A,30-40
20080820862,A,50-60
20080820863,A,
20080820864,A,
20080820865,A,20-30
20080820866,O,20-30
20080820867,A,
20080820868,A,
20080820869,A,
20080820870,A,
20080820871,A,30-40
20080820872,A,40-50
20080820873,A,20-30
20080820874,B,30-40
20080820875,B,15-20
20080820876,A,
20080820877,A,
20080820878,A,20-30
20080820879,A,20-30
20080820880,A,20-30
20080820881,A,30-40
20080820882,A,
20080820883,A,20-30
20080820884,A,30-40
20080820885,B,
20080820886,B,30-40
20080820887,B,30-40
20080820888,A,50-60
20080820889,A,30-40
20080820890,A,30-40
20080820891,B,
20080820892,A,30-40
20080820893,A,30-40
20080820894,A,30-40
20080820895,A,40-50
20080820896,B,
20080820897,A,
20080820898,A,30-40
20080820899,A,40-50
20080820900,A,40-50
20080820901,A,
20080820902,A,40-50
20080820903,A,30-40
20080820904,A,20-30
20080820905,A,20-30
20080820906,A,40-50
20080820907,A,20-30
20080820908,A,50-60
20080820909,B,30-40
20080820910,A,30-40
20080820911,B,
20080820912,A,40-50
20080820913,A,40-50
20080820914,B,50-60
20080820915,A,20-30
20080820916,A,30-40
20080820917,A,60-70
20080820918,A,30-40
20080820919,A,30-40
20080820920,A,20-30
20080820921,A,20-30
20080820922,A,
20080820923,B,30-40
20080820924,A,30-40
20080820925,A,20-30
20080820926,A,20-30
20080820927,A,30-40
20080820928,A,40-50
20080820929,A,30-40
20080820930,B,20-30
20080820931,A,30-40
20080820932,F,30-40
20080820933,A,20-30
20080820934,A,20-30
20080820935,A,40-50
20080820936,A,30-40
20080820937,F,30-40
20080820938,A,20-30
20080820939,B,30-40
20080820940,A,20-30
20080820941,A,20-30
20080820942,A,40-50
20080820943,A,20-30
20080820944,A,30-40
20080820945,D,50-60
20080820946,A,30-40
20080820947,A,20-30
20080820948,A,20-30
20080820949,B,
20080820950,A,15-20
20080820951,A,30-40
20080820952,A,30-40
20080820953,A,40-50
20080820954,A,
20080820955,A,20-30
20080820956,B,
20080820957,A,30-40
20080820958,A,
20080820959,A,20-30
20080820960,A,30-40
20080820961,A,40-50
20080820962,A,20-30
20080820963,A,40-50
20080820964,A,
20080820965,B,30-40
20080820966,A,30-40
20080820967,A,20-30
20080820968,A,20-30
20080820969,Other,30-40
20080820970,B,20-30
20080820971,A,40-50
20080820972,A,40-50
20080820973,A,20-30
20080820974,A,20-30
20080820975,A,
20080820976,B,40-50
20080820977,D,30-40
20080820978,A,20-30
20080820979,NA,50-60
20080820980,F,20-30
20080820981,A,40-50
20080820982,F,
20080820983,A,30-40
20080820984,A,30-40
20080820985,A,20-30
20080820986,A,20-30
20080820987,NA,
20080820988,A,60-70
20080820989,A,30-40
20080820990,F,20-30
20080820991,A,30-40
20080820992,B,20-30
20080820993,A,20-30
20080820994,A,20-30
20080820995,A,30-40
20080820996,A,
20080820997,B,40-50
20080820998,A,30-40
20080820999,A,
20080821000,A,30-40
20080821001,A,50-60
20080821002,A,30-40
20080821003,A,50-60
20080821004,A,30-40
20080821005,A,30-40
20080821006,A,40-50
20080821007,A,
20080821008,A,30-40
20080821009,A,30-40
20080821010,D,30-40
20080821011,F,
20080821012,NA,20-30
20080821013,A,
20080821014,A,20-30
20080821015,B,30-40
20080821016,A,
20080821017,A,30-40
20080821018,A,20-30
20080821019,Other,20-30
20080821020,A,40-50
20080821021,A,
20080821022,A,30-40
20080821023,A,15-20
20080821024,A,
20080821025,B,30-40
20080821026,A,20-30
20080821027,B,
20080821028,B,20-30
20080821029,A,
20080821030,B,20-30
20080821031,Other,30-40
20080821032,B,30-40
20080821033,A,
20080821034,A,20-30
20080821035,A,30-40
20080821036,A,
20080821037,A,30-40
20080821038,A,
20080821039,A,20-30
20080821040,A,30-40
20080821041,A,
20080821042,A,30-40
20080821043,A,40-50
20080821044,A,40-50
20080821045,B,30-40
20080821046,D,30-40
20080821047,A,
20080821048,A,20-30
20080821049,A,40-50
20080821050,A,30-40
20080821051,A,
20080821052,A,15-20
20080821053,NA,
20080821054,A,30-40
20080821055,A,
20080821056,A,40-50
20080821057,A,15-20
20080821058,A,30-40
20080821059,A,60-70
20080821060,A,40-50
20080821061,A,30-40
20080821062,A,30-40
20080821063,A,
20080821064,B,
20080821065,A,40-50
20080821066,A,30-40
20080821067,A,
20080821068,A,
20080821069,A,
20080821070,A,
20080821071,A,
20080821072,A,40-50
20080821073,A,
20080821074,A,
20080821075,NA,
20080821076,A,20-30
20080821077,A,
20080821078,NA,50-60
20080821079,A,
20080821080,A,20-30
20080821081,A,30-40
20080821082,A,50-60
20080821083,A,
20080821084,A,
20080821085,A,30-40
20080821086,A,50-60
20080821087,A,
20080821088,A,30-40
20080821089,A,30-40
20080821090,A,30-40
20080821091,B,30-40
20080821092,A,20-30
20080821093,F,40-50
20080821094,A,
20080821095,A,
20080821096,A,
20080821097,A,
20080821098,NA,
20080821099,NA,
20080821100,A,
20080821101,A,60-70
20080821102,A,50-60
20080821103,A,20-30
20080821104,A,
20080821105,A,
20080821106,A,20-30
20080821107,A,
20080821108,A,
20080821109,A,30-40
20080821110,A,15-20
20080821111,A,30-40
20080821112,A,
20080821113,A,30-40
20080821114,A,
20080821115,A,30-40
20080821116,A,30-40
20080821117,A,50-60
20080821118,A,
20080821119,A,
20080821120,A,
20080821121,A,
20080821122,A,
20080821123,A,
20080821124,A,
20080821125,A,
20080821126,A,
20080821127,NA,
20080821128,A,
20080821129,A,40-50
20080821130,NA,
20080821131,A,
20080821132,A,
20080821133,NA,30-40
20080821134,A,60-70
20080821135,A,
20080821136,A,
20080821137,A,
20080821138,A,40-50
20080821139,A,20-30
20080821140,A,40-50
20080821141,A,30-40
20080821142,A,40-50
20080821143,A,30-40
20080821144,A,
20080821145,A,
20080821146,A,
20080821147,A,
20080821148,NA,
20080821149,A,50-60
20080821150,A,
20080821151,A,
20080821152,B,30-40
20080821153,B,50-60
20080821154,A,30-40
20080821155,A,
20080821156,A,30-40
20080821157,B,
20080821158,A,30-40
20080821159,A,
20080821160,A,30-40
20080821161,A,60-70
20080821162,A,20-30
20080821163,A,
20080821164,A,
20080821165,A,30-40
20080821166,A,
20080821167,A,
20080821168,A,40-50
20080821169,A,
20080821170,A,
20080821171,A,
20080821172,A,
20080821173,A,
20080821174,A,
20080821175,A,
20080821176,A,
20080821177,Other,20-30
20080821178,A,40-50
20080821179,A,30-40
20080821180,A,20-30
20080821181,A,40-50
20080821182,A,40-50
20080821183,A,30-40
20080821184,A,30-40
20080821185,A,
20080821186,A,
20080821187,A,30-40
20080821188,A,30-40
20080821189,A,
20080821190,A,
20080821191,A,
20080821192,A,30-40
20080821193,K,50-60
20080821194,A,30-40
20080821195,A,50-60
20080821196,J,
20080821197,A,40-50
20080821198,A,20-30
20080821199,A,50-60
20080821200,A,40-50
20080821201,A,20-30
20080821202,A,30-40
20080821203,B,30-40
20080821204,A,40-50
20080821205,A,50-60
20080821206,A,
20080821207,A,50-60
20080821208,A,30-40
20080821209,A,
20080821210,NA,30-40
20080821211,J,
20080821212,A,40-50
20080821213,A,30-40
20080821214,A,
20080821215,A,20-30
20080821216,A,
20080821217,A,More than 70
20080821218,B,
20080821219,B,30-40
20080821220,NA,
20080821221,A,
20080821222,A,40-50
20080821223,A,20-30
20080821224,A,30-40
20080821225,A,
20080821226,A,
20080821227,A,
20080821228,A,20-30
20080821229,A,
20080821230,A,
20080821231,A,
20080821232,A,20-30
20080821233,K,30-40
20080821234,A,
20080821235,A,50-60
20080821236,B,50-60
20080821237,A,30-40
20080821238,B,30-40
20080821239,A,
20080821240,A,20-30
20080821241,A,20-30
20080821242,A,
20080821243,A,40-50
20080821244,NA,
20080821245,A,20-30
20080821246,B,40-50
20080821247,B,50-60
20080821248,B,15-20
20080821249,A,30-40
20080821250,A,40-50
20080821251,B,30-40
20080821252,A,
20080821253,A,30-40
20080821254,A,30-40
20080821255,A,60-70
20080821256,A,30-40
20080821257,A,
20080821258,A,
20080821259,A,
20080821260,A,30-40
20080821261,A,20-30
20080821262,A,30-40
20080821263,A,
20080821264,NA,50-60
20080821265,A,50-60
20080821266,A,20-30
20080821267,K,20-30
20080821268,U,20-30
20080821269,A,
20080821270,A,40-50
20080821271,A,40-50
20080821272,A,20-30
20080821273,A,50-60
20080821274,C,30-40
20080821275,D,20-30
20080821276,A,30-40
20080821277,A,20-30
20080821278,B,20-30
20080821279,M,50-60
20080821280,A,20-30
20080821281,A,30-40
20080821282,A,
20080821283,A,20-30
20080821284,A,
20080821285,A,20-30
20080821286,A,20-30
20080821287,A,40-50
20080821288,A,
20080821289,A,20-30
20080821290,A,15-20
20080821291,A,
20080821292,A,20-30
20080821293,A,20-30
20080821294,A,
20080821295,A,30-40
20080821296,A,
20080821297,A,30-40
20080821298,A,30-40
20080821299,A,50-60
20080821300,B,30-40
20080821301,NA,
20080821302,A,30-40
20080821303,A,
20080821304,A,20-30
20080821305,B,20-30
20080821306,A,20-30
20080821307,F,
20080821308,A,
20080821309,A,40-50
20080821310,B,
20080821311,B,60-70
20080821312,A,30-40
20080821313,B,30-40
20080821314,A,50-60
20080821315,A,30-40
20080821316,A,20-30
20080821317,A,20-30
20080821318,B,
20080821319,A,
20080821320,E,20-30
20080821321,A,15-20
20080821322,A,20-30
20080821323,C,30-40
20080821324,A,20-30
20080821325,A,
20080821326,A,30-40
20080821327,A,40-50
20080821328,A,
20080821329,A,
20080821330,A,60-70
20080821331,A,60-70
20080821332,A,50-60
20080821333,B,20-30
20080821334,A,40-50
20080821335,B,30-40
20080821336,B,
20080821337,A,20-30
20080821338,E,15-20
20080821339,W,20-30
20080821340,A,
20080821341,A,20-30
20080821342,A,15-20
20080821343,A,20-30
20080821344,A,
20080821345,A,
20080821346,A,30-40
20080821347,B,40-50
20080821348,A,20-30
20080821349,A,30-40
20080821350,A,
20080821351,P,30-40
20080821352,NA,More than 70
20080821353,A,20-30
20080821354,A,15-20
20080821355,A,40-50
20080821356,A,30-40
20080821357,A,30-40
20080821358,A,40-50
20080821359,A,20-30
20080821360,A,20-30
20080821361,C,40-50
20080821362,A,
20080821363,C,20-30
20080821364,A,30-40
20080821365,B,
20080821366,A,20-30
20080821367,A,20-30
20080821368,A,40-50
20080821369,A,50-60
20080821370,A,
20080821371,A,
20080821372,A,40-50
20080821373,A,20-30
20080821374,A,
20080821375,A,30-40
20080821376,A,
20080821377,A,
20080821378,B,20-30
20080821379,A,30-40
20080821380,A,
20080821381,A,30-40
20080821382,A,
20080821383,A,30-40
20080821384,A,
20080821385,A,20-30
20080821386,A,30-40
20080821387,A,
20080821388,B,20-30
20080821389,A,40-50
20080821390,A,
20080821391,A,
20080821392,A,
20080821393,A,50-60
20080821394,A,
20080821395,A,40-50
20080821396,A,30-40
20080821397,A,30-40
20080821398,A,
20080821399,A,
20080821400,A,20-30
20080821401,A,
20080821402,A,20-30
20080821403,A,20-30
20080821404,A,30-40
20080821405,A,30-40
20080821406,A,50-60
20080821407,A,
20080821408,A,20-30
20080821409,NA,
20080821410,A,50-60
20080821411,B,
20080821412,NA,30-40
20080821413,A,40-50
20080821414,A,30-40
20080821415,A,30-40
20080821416,A,40-50
20080821417,A,50-60
20080821418,A,20-30
20080821419,A,30-40
20080821420,A,50-60
20080821421,B,
20080821422,A,20-30
20080821423,A,30-40
20080821424,A,
20080821425,B,
20080821426,B,30-40
20080821427,A,40-50
20080821428,A,
20080821429,A,50-60
20080821430,A,
20080821431,A,40-50
20080821432,A,30-40
20080821433,A,20-30
20080821434,A,15-20
20080821435,A,
20080821436,A,40-50
20080821437,A,20-30
20080821438,A,30-40
20080821439,Other,
20080821440,A,Less tha 15
20080821441,B,30-40
20080821442,A,40-50
20080821443,A,50-60
20080821444,NA,50-60
20080821445,A,20-30
20080821446,NA,
20080821447,N,20-30
20080821448,A,
20080821449,F,40-50
20080821450,A,30-40
20080821451,A,30-40
20080821452,A,20-30
20080821453,A,50-60
20080821454,A,30-40
20080821455,A,20-30
20080821456,A,20-30
20080821457,C,20-30
20080821458,A,30-40
20080821459,A,50-60
20080821460,A,30-40
20080821461,B,30-40
20080821462,B,40-50
20080821463,A,
20080821464,A,40-50
20080821465,A,20-30
20080821466,A,30-40
20080821467,A,40-50
20080821468,A,40-50
20080821469,A,
20080821470,B,20-30
20080821471,A,
20080821472,A,50-60
20080821473,A,
20080821474,A,50-60
20080821475,C,30-40
20080821476,A,
20080821477,A,20-30
20080821478,A,
20080821479,A,50-60
20080821480,A,50-60
20080821481,A,40-50
20080821482,B,50-60
20080821483,A,30-40
20080821484,A,50-60
20080821485,NA,
20080821486,A,
20080821487,A,
20080821488,A,40-50
20080821489,A,
20080821490,A,
20080821491,A,20-30
20080821492,A,
20080821493,A,30-40
20080821494,B,20-30
20080821495,A,20-30
20080821496,A,40-50
20080821497,A,
20080821498,A,
20080821499,A,20-30
20080821500,A,
20080821501,C,40-50
20080821502,A,30-40
20080821503,A,15-20
20080821504,A,
20080821505,A,30-40
